simulation,Spain,Argentina,France,England,Brazil
155,19.35483870967742,23.225806451612904,12.258064516129032,9.67741935483871,3.870967741935484
156,19.230769230769234,23.076923076923077,12.179487179487179,9.615384615384617,3.8461538461538463
157,19.10828025477707,22.929936305732486,12.738853503184714,9.554140127388536,3.821656050955414
158,18.9873417721519,22.78481012658228,13.291139240506327,9.49367088607595,3.79746835443038
159,18.867924528301888,22.641509433962266,13.20754716981132,9.433962264150944,3.7735849056603774
160,18.75,22.5,13.125,9.375,3.75
161,18.633540372670808,22.36024844720497,13.043478260869565,9.316770186335404,3.7267080745341614
162,19.1358024691358,22.22222222222222,12.962962962962962,9.25925925925926,3.7037037037037033
163,19.018404907975462,22.699386503067483,12.883435582822086,9.202453987730062,3.6809815950920246
164,18.902439024390244,22.5609756097561,12.804878048780488,9.146341463414634,3.6585365853658534
165,18.787878787878785,22.424242424242426,12.727272727272727,9.090909090909092,3.6363636363636362
166,18.67469879518072,22.89156626506024,12.650602409638553,9.036144578313253,3.614457831325301
167,19.16167664670659,22.75449101796407,12.574850299401197,8.982035928143713,3.592814371257485
168,19.047619047619047,22.61904761904762,13.095238095238097,8.928571428571429,3.571428571428571
169,18.93491124260355,23.076923076923077,13.017751479289942,8.875739644970414,3.5502958579881656
170,18.823529411764707,22.941176470588236,12.941176470588237,8.823529411764707,3.5294117647058822
171,18.71345029239766,22.807017543859647,13.450292397660817,8.771929824561402,3.508771929824561
172,18.6046511627907,22.674418604651162,13.953488372093023,8.720930232558139,3.488372093023256
173,19.07514450867052,22.54335260115607,13.872832369942195,8.670520231213873,3.4682080924855487
174,18.96551724137931,22.413793103448278,13.793103448275861,8.620689655172415,3.4482758620689653
175,19.428571428571427,22.285714285714285,13.714285714285715,8.571428571428571,3.428571428571429
176,19.318181818181817,22.15909090909091,13.636363636363635,8.522727272727272,3.977272727272727
177,19.2090395480226,22.033898305084744,14.124293785310735,8.47457627118644,3.954802259887006
178,19.101123595505616,21.910112359550563,14.04494382022472,8.426966292134832,3.932584269662921
179,19.553072625698324,21.787709497206702,13.966480446927374,8.379888268156424,3.910614525139665
180,20.0,21.666666666666668,13.88888888888889,8.333333333333332,3.888888888888889
181,19.88950276243094,21.54696132596685,14.3646408839779,8.287292817679557,3.867403314917127
182,20.32967032967033,21.428571428571427,14.285714285714285,8.241758241758241,3.8461538461538463
183,20.21857923497268,21.311475409836063,14.207650273224044,8.19672131147541,4.371584699453552
184,20.108695652173914,21.195652173913043,14.130434782608695,8.152173913043478,4.891304347826087
185,20.0,21.08108108108108,14.594594594594595,8.108108108108109,4.864864864864865
186,20.43010752688172,20.967741935483872,14.516129032258066,8.064516129032258,4.838709677419355
187,20.32085561497326,21.390374331550802,14.43850267379679,8.02139037433155,4.81283422459893
188,20.212765957446805,21.27659574468085,14.361702127659576,7.9787234042553195,5.319148936170213
189,20.105820105820104,21.164021164021165,14.285714285714285,7.936507936507936,5.291005291005291
190,20.0,21.052631578947366,14.210526315789473,7.894736842105263,5.263157894736842
191,19.895287958115183,21.465968586387437,14.136125654450263,7.853403141361256,5.2356020942408374
192,20.3125,21.354166666666664,14.0625,7.8125,5.208333333333334
193,20.207253886010363,21.243523316062177,14.507772020725387,7.772020725388601,5.181347150259067
194,20.103092783505154,21.1340206185567,14.432989690721648,7.731958762886598,5.154639175257731
195,20.0,21.025641025641026,14.871794871794872,7.6923076923076925,5.128205128205128
196,19.897959183673468,20.918367346938776,14.795918367346939,8.16326530612245,5.1020408163265305
197,19.796954314720814,20.812182741116754,14.720812182741117,8.121827411167512,5.0761421319796955
198,19.696969696969695,20.707070707070706,14.646464646464647,8.080808080808081,5.05050505050505
199,19.597989949748744,20.603015075376884,15.07537688442211,8.040201005025125,5.025125628140704
200,20.0,20.5,15.0,8.0,5.0
201,19.900497512437813,20.398009950248756,14.925373134328357,7.960199004975125,4.975124378109453
202,19.801980198019802,20.2970297029703,14.85148514851485,7.920792079207921,5.445544554455446
203,19.704433497536947,20.19704433497537,14.77832512315271,7.8817733990147785,5.41871921182266
204,19.607843137254903,20.588235294117645,14.705882352941178,7.8431372549019605,5.392156862745098
205,19.51219512195122,20.48780487804878,14.634146341463413,8.292682926829269,5.365853658536586
206,19.902912621359224,20.388349514563107,14.563106796116504,8.25242718446602,5.339805825242718
207,19.806763285024154,20.77294685990338,14.492753623188406,8.212560386473431,5.314009661835748
