simulation,Brazil,Argentina,Spain,France,England
252,32.142857142857146,20.238095238095237,7.936507936507936,7.5396825396825395,4.761904761904762
253,32.015810276679844,20.158102766798418,7.905138339920949,7.905138339920949,4.743083003952568
254,31.88976377952756,20.078740157480315,7.874015748031496,7.874015748031496,4.724409448818897
255,31.76470588235294,20.392156862745097,7.8431372549019605,7.8431372549019605,4.705882352941177
256,31.640625,20.703125,7.8125,7.8125,4.6875
257,31.517509727626457,20.622568093385212,8.171206225680933,7.782101167315175,4.669260700389105
258,31.3953488372093,20.54263565891473,8.13953488372093,7.751937984496124,4.651162790697675
259,31.27413127413127,20.463320463320464,8.108108108108109,7.722007722007722,4.633204633204633
260,31.153846153846153,20.384615384615383,8.076923076923077,7.6923076923076925,5.0
261,31.03448275862069,20.306513409961685,8.045977011494253,7.662835249042145,4.980842911877394
262,30.916030534351147,20.229007633587788,8.015267175572518,8.015267175572518,4.961832061068702
263,30.798479087452474,20.53231939163498,7.984790874524715,7.984790874524715,4.942965779467681
264,31.060606060606062,20.454545454545457,7.954545454545454,7.954545454545454,4.924242424242424
265,30.943396226415093,20.37735849056604,7.9245283018867925,8.30188679245283,4.905660377358491
266,30.82706766917293,20.30075187969925,7.894736842105263,8.270676691729323,4.887218045112782
267,30.711610486891384,20.224719101123593,7.865168539325842,8.239700374531834,4.868913857677903
268,30.597014925373134,20.149253731343283,7.835820895522389,8.582089552238806,4.850746268656716
269,30.855018587360593,20.074349442379184,7.806691449814126,8.550185873605948,4.83271375464684
270,30.74074074074074,20.0,7.777777777777778,8.518518518518519,4.814814814814815
271,30.627306273062732,19.92619926199262,7.7490774907749085,8.487084870848708,4.797047970479705
272,30.514705882352942,20.22058823529412,7.720588235294118,8.455882352941178,4.779411764705882
273,30.76923076923077,20.146520146520146,7.6923076923076925,8.424908424908425,4.761904761904762
274,30.656934306569344,20.072992700729927,7.664233576642336,8.394160583941606,4.744525547445255
275,30.545454545454547,20.0,7.636363636363637,8.363636363636363,4.7272727272727275
276,30.434782608695656,20.28985507246377,7.608695652173914,8.333333333333332,4.710144927536232
277,30.685920577617328,20.216606498194945,7.581227436823104,8.303249097472925,4.693140794223827
278,30.575539568345324,20.14388489208633,7.553956834532374,8.273381294964029,5.0359712230215825
279,30.46594982078853,20.07168458781362,7.526881720430108,8.60215053763441,5.017921146953405
280,30.357142857142854,20.357142857142858,7.5,8.571428571428571,5.0
281,30.2491103202847,20.640569395017792,7.473309608540925,8.540925266903916,4.98220640569395
282,30.141843971631204,20.921985815602838,7.446808510638298,8.51063829787234,4.964539007092199
283,30.3886925795053,20.848056537102476,7.420494699646643,8.480565371024735,4.946996466431095
284,30.28169014084507,21.12676056338028,7.394366197183098,8.450704225352112,4.929577464788732
285,30.175438596491226,21.052631578947366,7.368421052631578,8.421052631578947,4.912280701754386
286,30.419580419580424,20.97902097902098,7.3426573426573425,8.391608391608392,4.895104895104895
287,30.66202090592334,20.905923344947734,7.317073170731707,8.362369337979095,4.878048780487805
288,30.555555555555557,20.833333333333336,7.638888888888889,8.333333333333332,4.861111111111112
289,30.44982698961938,20.761245674740483,7.958477508650519,8.304498269896193,4.844290657439446
290,30.344827586206897,20.689655172413794,7.931034482758621,8.275862068965518,4.827586206896552
291,30.584192439862544,20.618556701030926,7.903780068728522,8.24742268041237,4.810996563573884
292,30.47945205479452,20.54794520547945,7.876712328767123,8.21917808219178,4.794520547945205
293,30.37542662116041,20.477815699658702,7.849829351535837,8.19112627986348,4.778156996587031
294,30.272108843537417,20.408163265306122,7.8231292517006805,8.16326530612245,4.761904761904762
295,30.16949152542373,20.677966101694913,7.796610169491526,8.135593220338983,4.745762711864407
296,30.405405405405407,20.60810810810811,7.77027027027027,8.108108108108109,4.72972972972973
297,30.303030303030305,20.53872053872054,7.744107744107744,8.080808080808081,4.713804713804714
298,30.536912751677853,20.469798657718123,7.718120805369128,8.053691275167784,4.697986577181208
299,30.76923076923077,20.401337792642142,7.6923076923076925,8.02675585284281,4.682274247491638
300,30.666666666666664,20.333333333333332,7.666666666666666,8.333333333333332,4.666666666666667
301,30.89700996677741,20.26578073089701,7.641196013289036,8.305647840531561,4.651162790697675
302,30.79470198675497,20.52980132450331,7.6158940397351,8.27814569536424,4.635761589403973
303,30.693069306930692,20.462046204620464,7.590759075907591,8.25082508250825,4.62046204620462
304,30.592105263157894,20.394736842105264,7.565789473684211,8.223684210526317,4.605263157894736
305,30.491803278688522,20.327868852459016,7.540983606557377,8.524590163934425,4.590163934426229
306,30.392156862745097,20.26143790849673,7.516339869281046,8.823529411764707,4.57516339869281
307,30.293159609120522,20.195439739413683,7.491856677524431,9.120521172638437,4.5602605863192185
308,30.519480519480517,20.12987012987013,7.467532467532467,9.090909090909092,4.545454545454546
309,30.74433656957929,20.06472491909385,7.443365695792881,9.06148867313916,4.53074433656958
310,30.64516129032258,20.32258064516129,7.419354838709677,9.032258064516128,4.516129032258064
311,30.54662379421222,20.257234726688104,7.395498392282958,9.003215434083602,4.501607717041801
312,30.448717948717945,20.192307692307693,7.371794871794872,8.974358974358974,4.487179487179487
313,30.35143769968051,20.12779552715655,7.348242811501597,8.945686900958465,4.472843450479233
314,30.254777070063692,20.063694267515924,7.32484076433121,9.235668789808917,4.45859872611465
315,30.476190476190478,20.0,7.301587301587302,9.206349206349207,4.444444444444445
316,30.37974683544304,19.936708860759495,7.59493670886076,9.177215189873419,4.430379746835443
317,30.5993690851735,19.873817034700316,7.570977917981073,9.14826498422713,4.416403785488959
318,30.50314465408805,19.81132075471698,7.547169811320755,9.119496855345911,4.40251572327044
319,30.721003134796238,19.74921630094044,7.523510971786834,9.090909090909092,4.38871473354232
320,30.9375,19.6875,7.5,9.0625,4.375
321,30.8411214953271,19.626168224299064,7.476635514018691,9.034267912772584,4.361370716510903
322,30.745341614906835,19.565217391304348,7.453416149068323,9.006211180124224,4.3478260869565215
323,30.65015479876161,19.5046439628483,7.430340557275541,9.287925696594428,4.3343653250774
324,30.864197530864196,19.444444444444446,7.4074074074074066,9.25925925925926,4.320987654320987
325,30.76923076923077,19.384615384615383,7.384615384615385,9.230769230769232,4.3076923076923075
326,30.67484662576687,19.32515337423313,7.361963190184049,9.202453987730062,4.294478527607362
327,30.886850152905197,19.26605504587156,7.339449541284404,9.174311926605505,4.281345565749235
328,30.79268292682927,19.51219512195122,7.317073170731707,9.146341463414634,4.2682926829268295
329,31.00303951367781,19.45288753799392,7.29483282674772,9.118541033434651,4.25531914893617
330,31.212121212121215,19.393939393939394,7.2727272727272725,9.090909090909092,4.242424242424243
331,31.419939577039273,19.335347432024168,7.250755287009064,9.06344410876133,4.229607250755287
332,31.32530120481928,19.27710843373494,7.228915662650602,9.036144578313253,4.518072289156627
333,31.53153153153153,19.21921921921922,7.207207207207207,9.00900900900901,4.504504504504505
334,31.437125748502993,19.16167664670659,7.48502994011976,8.982035928143713,4.491017964071856
335,31.64179104477612,19.1044776119403,7.462686567164178,8.955223880597014,4.477611940298507
336,31.547619047619047,19.047619047619047,7.440476190476191,8.928571428571429,4.464285714285714
337,31.750741839762615,18.991097922848667,7.418397626112759,8.902077151335313,4.451038575667656
338,31.65680473372781,18.93491124260355,7.396449704142012,9.171597633136095,4.437869822485207
339,31.563421828908556,19.174041297935105,7.374631268436578,9.144542772861357,4.424778761061947
340,31.76470588235294,19.11764705882353,7.352941176470589,9.117647058823529,4.411764705882353
341,31.671554252199414,19.06158357771261,7.331378299120235,9.090909090909092,4.398826979472141
342,31.57894736842105,19.005847953216374,7.309941520467836,9.064327485380117,4.385964912280701
343,31.778425655976676,18.950437317784257,7.288629737609329,9.037900874635568,4.373177842565598
344,31.686046511627907,18.8953488372093,7.55813953488372,9.011627906976743,4.3604651162790695
345,31.88405797101449,18.84057971014493,7.536231884057972,8.985507246376812,4.3478260869565215
346,31.79190751445087,19.07514450867052,7.514450867052023,8.959537572254336,4.335260115606936
